Item Name,Rate,Account,Status,Unit Name,Purchase Account
Fuerte Small (125g - 150g),INR 75.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte Jumbo 2 pcs Combo,INR 299.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Longneck Medium (175g - 225g),INR 89.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Longneck Small (125g - 175g),INR 59.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Longneck Small 3 pcs Combo,INR 249.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Longneck Medium 3 pcs Combo,INR 89.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Kallar Small (125 g - 175g),INR 75.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte Medium 4 pcs Combo,INR 329.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte Super Jumbo (401g+),INR 189.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte Super Jumbo 2 pcs Combo,INR 349.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid Super Jumbo (401g+),INR 189.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid Super Jumbo 2 pcs Combo,INR 349.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte-Jumbo (300g+),INR 159.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte-Large (225g - 300g),INR 129.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte-Large 2 pcs Combo,INR 229.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte-Medium (150g - 225g),INR 99.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte-Medium 3 pcs Combo,INR 279.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte-Small 4 pcs Combo,INR 249.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Kallar-Medium (150g - 225g),INR 99.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Kallar-Medium 3 pcs Combo,INR 219.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Kallar-Small 4 pcs Combo,INR 199.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid-Jumbo (300g+),INR 159.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid-Jumbo 2 pcs Combo,INR 299.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid-Large (225g - 300g),INR 129.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid-Large 2 pcs Combo,INR 229.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid-Medium (150g - 225g),INR 99.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid-Medium 3 pcs Combo,INR 279.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid-Small (125g - 175g),INR 75.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid-Small 4 pcs Combo,INR 249.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid Large 3 pcs Combo,INR 319.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Fuerte Large 3 pcs Combo,INR 319.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Purple Hybrid-Medium 4 pcs Combo,INR 329.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Medium (151g-225g) 1 pc,INR 79.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Medium 3 pcs Combo,INR 219.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Medium 5 pcs Combo,INR 299.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Large (226g-300g) 1 pc,INR 99.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Large 3 pcs Combo,INR 249.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Large 4 pcs Combo,INR 299.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Jumbo (301g-400g) 1 pc,INR 129.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Jumbo 2pcs Combo,INR 239.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Jumbo 3 pcs Combo,INR 299.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Long Neck Small (100g-150g) 1 pc,INR 59.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Avocado Milkshake,INR 199.00,Milkshake/ready-to-eat product Sales,Active,Pieces,Cost of Goods Sold
Avocado ButterMilk,INR 149.00,Milkshake/ready-to-eat product Sales,Active,Pieces,Cost of Goods Sold
Guacamole with Nachos,INR 249.00,Milkshake/ready-to-eat product Sales,Active,Pieces,Cost of Goods Sold
Victoria-Large 2 pcs Combo,INR 229.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Victoria-Jumbo 2 pcs Combo,INR 299.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Victoria-Large (225g - 300g),INR 129.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Victoria-Jumbo (300g+),INR 159.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Victoria Super Jumbo (401g+),INR 189.00,Avocado Fruit Sales,Active,Pieces,Cost of Goods Sold
Wowcado Avocado Oil - 500 ml,INR 799.00,Avocado Oil Sales,Active,Pieces,Cost of Goods Sold
